dtcode23,dtcode11,stdtname,dtname,dtusename,stcode11,stcode23,st2code,stname,weighted_GDP
428,383,od_dhenkanal,Dhenkanal,dhenkanal,21,21,OD,ODISHA,3.1823640104704354
117,106,rj_dhaulpur,Dhaulpur,dhaulpur,08,8,RJ,RAJASTHAN,2.5495347726400213
370,309,as_tinsukia,Tinsukia,tinsukia,18,18,AS,ASSAM,2.8557324146342116
494,453,mp_dindori,Dindori,dindori,23,23,MP,MADHYA PRADESH,0.877559910144897
400,362,jh_dumka,Dumka,dumka,20,20,JH,JHARKHAND,2.2345459025318273
118,124,rj_dungarpur,Dungarpur,dungarpur,08,8,RJ,RAJASTHAN,2.0935611158973586
459,409,cg_durg,Durg,durg,22,22,CG,CHHATTISGARH,3.9661836011184404
95,093,dl_east,East,east,07,7,DL,DELHI,0.09988684727142748
251,244,sk_east_district,East District,east_district,11,11,SK,SIKKIM,0.33448715164576054
327,294,mg_east_garo_hills,East Garo Hills,east_garo_hills,17,17,MG,MEGHALAYA,0.20610630345909703
329,298,mg_east_khasi_hills,East Khasi Hills,east_khasi_hills,17,17,MG,MEGHALAYA,3.223878767689139
495,466,mp_east_nimar,East Nimar,east_nimar,23,23,MP,MADHYA PRADESH,3.4993559303601223
634,595,kl_ernakulam,Ernakulam,ernakulam,32,29,KL,KERALA,5.1754751145294255
160,201,up_etah,Etah,etah,09,9,UP,UTTAR PRADESH,3.1738856351059357
161,161,up_etawah,Etawah,etawah,09,9,UP,UTTAR PRADESH,4.8203331055924465
163,159,up_farrukhabad,Farrukhabad,farrukhabad,09,9,UP,UTTAR PRADESH,3.293601049610404
164,172,up_fatehpur,Fatehpur,fatehpur,09,9,UP,UTTAR PRADESH,4.5197826249569655
165,147,up_firozabad,Firozabad,firozabad,09,9,UP,UTTAR PRADESH,4.781632378108273
612,561,ka_gadag,Gadag,gadag,29,26,KA,KARNATAKA,3.4542023987162556
429,389,od_gajapati,Gajapati,gajapati,21,21,OD,ODISHA,1.0615200229398052
430,388,od_ganjam,Ganjam,ganjam,21,21,OD,ODISHA,5.417109076745973
